post_id,timestamp,author_name,company,content,business_type,business_value_score,urgency,has_contact,contact_info,reactions,comments,has_image,image_content
post_1,2026-02-24 17:30:20,Robert Taylor,Global Aviation Trading,MRO服务 opportunity. Contact for details.,MRO服务,4,中,False,,44,5,True,
post_2,2026-02-24 17:30:20,Lisa Anderson,Unical Aviation,技术支援 opportunity. Contact for details.,技术支援,4,低,True,lisa.anderson@unicalaviation.com,38,2,True,
post_3,2026-02-24 17:30:20,Michael Johnson,AirSource Partners,技术支援 opportunity. Contact for details.,技术支援,5,高,True,michael.johnson@airsourcepartners.com,15,2,True,
post_4,2026-02-24 17:30:20,John Davis,AeroEdge Global Services,Seeking CF6 engines for lease. Term: 36 months. Any cycles acceptable.,发动机租赁,3,低,False,john.davis@aeroedgeglobalservices.com,4,8,True,
post_5,2026-02-24 17:30:20,Maria Garcia,C4j Aviation,Seeking GE90 engines for lease. Term: 36 months. Any cycles acceptable.,发动机租赁,4,低,False,,32,5,False,
post_6,2026-02-24 17:30:20,David Miller,MENTE Group,Seeking LEAP engines for lease. Term: 12 months. Any cycles acceptable.,发动机租赁,4,中,False,david.miller@mentegroup.com,45,3,True,
post_7,2026-02-24 17:30:20,Jennifer Lee,Aviation Parts International,MRO服务 opportunity. Contact for details.,MRO服务,3,高,True,jennifer.lee@aviationpartsinternational.com,30,3,False,
post_8,2026-02-24 17:30:20,Jennifer Lee,Intercontinental Aviation,Seeking CF6 engines for lease. Term: 36 months. Any cycles acceptable.,发动机租赁,4,低,False,jennifer.lee@intercontinentalaviation.com,19,9,True,
post_9,2026-02-24 17:30:20,James Brown,MENTE Group,技术支援 opportunity. Contact for details.,技术支援,4,低,False,james.brown@mentegroup.com,50,7,False,
post_10,2026-02-24 17:30:20,Robert Taylor,MENTE Group,Seeking CF6 engines for lease. Term: 36 months. Any cycles acceptable.,发动机租赁,5,中,True,robert.taylor@mentegroup.com,12,4,False,
post_11,2026-02-24 17:30:20,Jennifer Lee,AirSource Partners,技术支援 opportunity. Contact for details.,技术支援,3,高,True,jennifer.lee@airsourcepartners.com,5,7,True,
post_12,2026-02-24 17:30:20,Jennifer Lee,Dragon Aviation Capital,Looking to purchase 航空电子设备 P/N 395963. Qty: 4. Immediate requirement.,航材交易,5,高,True,jennifer.lee@dragonaviationcapital.com,16,4,True,
post_13,2026-02-24 17:30:20,Lisa Anderson,Crestone Air Partners,技术支援 opportunity. Contact for details.,技术支援,4,低,False,,14,4,True,
post_14,2026-02-24 17:30:20,Maria Garcia,SkyWays Technics,Looking to purchase 航空电子设备 P/N 862087. Qty: 3. Immediate requirement.,航材交易,5,低,True,,35,8,False,
post_15,2026-02-24 17:30:20,Robert Taylor,Global Aviation Trading,Looking to purchase MMR P/N 401390. Qty: 1. Immediate requirement.,航材交易,5,高,False,,39,9,False,
post_16,2026-02-24 17:30:20,Robert Taylor,AirSource Partners,Looking to purchase WRT P/N 233643. Qty: 5. Immediate requirement.,航材交易,5,中,True,,5,8,False,
post_17,2026-02-24 17:30:20,王强,Crestone Air Partners,Looking to purchase HMU P/N 332863. Qty: 2. Immediate requirement.,航材交易,5,高,True,王强@crestoneairpartners.com,11,2,True,
post_18,2026-02-24 17:30:20,李娜,Intercontinental Aviation,资产管理 opportunity. Contact for details.,资产管理,5,低,False,李娜@intercontinentalaviation.com,19,10,False,
post_19,2026-02-24 17:30:20,Emma Wilson,Unical Aviation,Looking to purchase APU P/N 480632. Qty: 4. Immediate requirement.,航材交易,5,中,True,,12,2,False,
post_20,2026-02-24 17:30:20,Lisa Anderson,CTS Engines,Seeking CFM56 engines for lease. Term: 24 months. Any cycles acceptable.,发动机租赁,5,低,True,,19,7,True,
post_21,2026-02-24 17:30:20,Robert Taylor,AeroParts Hub,B737-200 available for sale. YOM 2011. Configuration: 168 seats.,飞机整机买卖,5,低,True,robert.taylor@aeropartshub.com,33,6,False,
post_22,2026-02-24 17:30:20,Emma Wilson,Crestone Air Partners,MRO服务 opportunity. Contact for details.,MRO服务,3,高,False,,17,4,True,
post_23,2026-02-24 17:30:20,Maria Garcia,AirSource Partners,资产管理 opportunity. Contact for details.,资产管理,4,低,True,,33,1,False,
post_24,2026-02-24 17:30:20,David Miller,Crestone Air Partners,B787-200 available for sale. YOM 2013. Configuration: 153 seats.,飞机整机买卖,3,中,False,,3,0,False,
post_25,2026-02-24 17:30:20,Jennifer Lee,AeroParts Hub,资产管理 opportunity. Contact for details.,资产管理,4,高,False,jennifer.lee@aeropartshub.com,7,4,False,
post_26,2026-02-24 17:30:20,Robert Taylor,Unical Aviation,技术支援 opportunity. Contact for details.,技术支援,4,高,True,robert.taylor@unicalaviation.com,27,10,True,
post_27,2026-02-24 17:30:20,陈明,Moog Aircraft,Seeking PW1100 engines for lease. Term: 6 months. Any cycles acceptable.,发动机租赁,3,中,True,,3,8,False,
post_28,2026-02-24 17:30:20,刘芳,Dragon Aviation Capital,Seeking CF6 engines for lease. Term: 12 months. Any cycles acceptable.,发动机租赁,5,低,True,,33,1,False,
post_29,2026-02-24 17:30:20,Emma Wilson,Crestone Air Partners,B777-200 available for sale. YOM 2015. Configuration: 170 seats.,飞机整机买卖,4,低,True,,18,5,False,
post_30,2026-02-24 17:30:20,王强,TMC Engine Center,资产管理 opportunity. Contact for details.,资产管理,5,低,True,,25,1,True,
post_31,2026-02-24 17:30:20,刘芳,Aviation Parts International,航材采购 opportunity. Contact for details.,航材采购,5,高,False,,11,2,False,
post_32,2026-02-24 17:30:20,刘芳,Global Aviation Trading,Seeking GE90 engines for lease. Term: 36 months. Any cycles acceptable.,发动机租赁,5,高,False,,48,4,True,
post_33,2026-02-24 17:30:20,Christopher Wong,AirSource Partners,Looking to purchase HMU P/N 384857. Qty: 3. Immediate requirement.,航材交易,5,低,False,christopher.wong@airsourcepartners.com,31,9,False,
post_34,2026-02-24 17:30:20,Maria Garcia,Dragon Aviation Capital,资产管理 opportunity. Contact for details.,资产管理,3,低,True,maria.garcia@dragonaviationcapital.com,2,6,False,
post_35,2026-02-24 17:30:20,Christopher Wong,Jet Solutions,MRO服务 opportunity. Contact for details.,MRO服务,3,高,True,christopher.wong@jetsolutions.com,49,3,True,
post_36,2026-02-24 17:30:20,张伟,Unical Aviation,B787-200 available for sale. YOM 2014. Configuration: 164 seats.,飞机整机买卖,4,低,False,张伟@unicalaviation.com,11,9,True,
post_37,2026-02-24 17:30:20,Christopher Wong,MENTE Group,A350-200 available for sale. YOM 2014. Configuration: 162 seats.,飞机整机买卖,3,低,True,christopher.wong@mentegroup.com,17,8,True,
post_38,2026-02-24 17:30:20,Sarah Chen,Intercontinental Aviation,技术支援 opportunity. Contact for details.,技术支援,3,中,True,,6,3,True,
post_39,2026-02-24 17:30:20,Christopher Wong,TMC Engine Center,Seeking V2500 engines for lease. Term: 6 months. Any cycles acceptable.,发动机租赁,3,高,False,christopher.wong@tmcenginecenter.com,50,9,False,
post_40,2026-02-24 17:30:20,Sarah Chen,MENTE Group,B787-200 available for sale. YOM 2016. Configuration: 177 seats.,飞机整机买卖,3,低,True,,41,4,True,
post_41,2026-02-24 17:30:20,Maria Garcia,IASC,Looking to purchase 发动机零件 P/N 715930. Qty: 2. Immediate requirement.,航材交易,5,低,True,maria.garcia@iasc.com,44,8,True,
post_42,2026-02-24 17:30:20,Jennifer Lee,Moog Aircraft,MRO服务 opportunity. Contact for details.,MRO服务,5,低,True,jennifer.lee@moogaircraft.com,32,8,False,
post_43,2026-02-24 17:30:20,David Miller,Jet Solutions,航材采购 opportunity. Contact for details.,航材采购,4,低,False,david.miller@jetsolutions.com,8,1,False,
post_44,2026-02-24 17:30:20,Jennifer Lee,Intercontinental Aviation,技术支援 opportunity. Contact for details.,技术支援,4,中,False,jennifer.lee@intercontinentalaviation.com,37,4,False,
post_45,2026-02-24 17:30:20,陈明,Intercontinental Aviation,Looking to purchase APU P/N 155453. Qty: 2. Immediate requirement.,航材交易,5,高,False,陈明@intercontinentalaviation.com,4,4,True,
post_46,2026-02-24 17:30:20,Jennifer Lee,Aviation Parts International,B737-200 available for sale. YOM 2006. Configuration: 151 seats.,飞机整机买卖,3,中,True,jennifer.lee@aviationpartsinternational.com,2,2,True,
post_47,2026-02-24 17:30:20,James Brown,Global Aviation Trading,Looking to purchase APU P/N 693098. Qty: 3. Immediate requirement.,航材交易,5,低,False,,42,1,False,
post_48,2026-02-24 17:30:20,李娜,Moog Aircraft,Looking to purchase 航空电子设备 P/N 770480. Qty: 2. Immediate requirement.,航材交易,5,高,True,,18,10,True,
post_49,2026-02-24 17:30:20,David Miller,IASC,航材采购 opportunity. Contact for details.,航材采购,3,低,True,,13,10,False,
post_50,2026-02-24 17:30:20,Lisa Anderson,SkyWays Technics,Looking to purchase 起落架零件 P/N 684460. Qty: 3. Immediate requirement.,航材交易,5,低,False,,11,8,False,
