ID,公司名称,联系人,职位,邮箱,电话,业务类型,发动机类型,飞机型号,业务描述,业务价值评分,紧急程度,优先级,发布时间,发布时间(天前),反应数,评论数,分享数
1,Air Aero Parts,周磊,航材经理,周磊99@outlook.com,+86-18293188663,USM零件供应,CFM56-3,A320-200,USM零件供应，CFM56-3相关部件,5,是,高,2026-02-24 12:57,5,144,28,9
3,Aero Aircraft,赵丽,资产经理,赵丽20@company.com,+86-17893189568,航材采购,PW1100G,N/A,专业航材采购服务，寻找PW1100G航材,5,否,高,2026-02-24 10:15,3,53,4,13
4,Flight Aviation,王静,维修经理,王静2@gmail.com,+86-18195286488,飞机租赁,CFM56-7B,A380-800,A380-800租赁，湿租/干租方案,5,否,高,2026-02-24 15:23,7,12,18,2
7,Asian Aircraft,王芳,维修经理,王芳64@aviation.com,+86-16768447190,MRO服务,PW1100G,B767-300ER,全面的MRO服务，涵盖PW1100G维修,5,否,高,2026-02-24 10:07,3,85,7,15
9,Aero Aero Services,吴娜,业务发展经理,吴娜37@gmail.com,+86-14067446491,发动机大修,V2500,N/A,V2500大修服务，快速周转,5,否,高,2026-02-24 10:07,1,65,9,19
11,Aero Aerospace,杨敏,维修经理,杨敏77@outlook.com,+86-13332348519,发动机租赁,N/A,A321neo,提供航空发动机租赁服务，短期/长期租赁方案,5,否,高,2026-02-24 15:11,1,20,27,16
17,Flight Aero Parts,李娜,航材经理,李娜60@aviation.com,+86-14320112693,飞机整机买卖,N/A,N/A,飞机整机买卖，提供融资方案,5,是,高,2026-02-24 14:43,5,124,6,7
18,Jet Aerospace,周娜,租赁经理,周娜37@company.com,+86-15829386865,飞机整机买卖,N/A,N/A,飞机整机买卖，提供融资方案,5,是,高,2026-02-24 13:16,1,22,2,19
19,Aero Aviation Solutions,张芳,维修经理,张芳71@gmail.com,+86-19369989538,起落架维修,JT8D-200,N/A,专业飞机起落架维修和大修服务,5,否,高,2026-02-24 09:33,6,139,19,17
22,Aero Aerospace,陈娜,维修经理,陈娜5@gmail.com,+86-18075174825,资产管理,Trent 800,N/A,航空资产管理和投资服务，专注于飞机,5,否,高,2026-02-24 16:27,6,74,18,4
23,Global Aero Parts,王强,业务发展经理,王强36@aviation.com,+86-17817142892,部件维修,JT8D-200,N/A,航空部件维修，包括JT8D-200相关部件,5,否,高,2026-02-24 09:20,6,56,5,6
27,Global Aviation,陈强,租赁经理,陈强73@aviation.com,+86-16720899993,发动机租赁,N/A,B737-800,提供航空发动机租赁服务，短期/长期租赁方案,5,是,高,2026-02-24 14:22,1,55,18,14
29,European Aircraft,周秀英,维修经理,周秀英29@company.com,+86-13058382416,部件维修,CFM56-3,N/A,航空部件维修，包括CFM56-3相关部件,5,是,高,2026-02-24 10:15,3,102,12,16
32,Wing Aviation Group,刘静,技术总监,刘静58@company.com,+86-15284213856,飞机整机买卖,CFM56-3,N/A,飞机整机买卖，提供融资方案,5,否,高,2026-02-24 13:34,2,131,25,0
34,Global Aircraft,杨娜,维修经理,杨娜59@outlook.com,+86-18528554566,资产管理,CFM56-3,N/A,航空资产管理和投资服务，专注于飞机,5,否,高,2026-02-24 10:45,7,43,4,11
35,Sky Aircraft,杨军,航材经理,杨军24@company.com,+86-14593733801,USM零件供应,N/A,N/A,USM零件供应，航空相关部件,5,否,高,2026-02-24 17:32,7,14,19,15
36,European Aero Parts,黄强,技术总监,黄强61@company.com,+86-15865039548,发动机大修,N/A,A320-200,航空发动机大修服务，快速周转,5,是,高,2026-02-24 14:52,4,137,4,6
37,European Aviation Group,张静,销售总监,张静48@outlook.com,+86-19421039837,航材交易,N/A,N/A,供应航空相关航材，库存充足，价格优惠,5,否,高,2026-02-24 11:57,1,18,25,9
39,Global Aerospace,黄秀英,租赁经理,黄秀英11@company.com,+86-17374669946,起落架维修,PW1100G,N/A,专业飞机起落架维修和大修服务,5,否,高,2026-02-24 13:24,4,137,2,4
42,Wing Aviation,杨丽,采购经理,杨丽9@outlook.com,+86-18732495597,发动机大修,JT8D-200,N/A,JT8D-200大修服务，快速周转,5,否,高,2026-02-24 12:02,5,138,9,20
43,European Aerospace,陈敏,采购经理,陈敏60@gmail.com,+86-16464554651,资产管理,CFM56-7B,N/A,航空资产管理和投资服务，专注于飞机,5,否,高,2026-02-24 14:05,6,37,14,10
44,Global Aviation Solutions,吴芳,业务发展经理,吴芳77@aviation.com,+86-19971164484,飞机整机买卖,N/A,N/A,飞机整机买卖，提供融资方案,5,是,高,2026-02-24 12:17,3,76,14,17
47,Air Aircraft,黄娜,技术总监,黄娜87@company.com,+86-14143719276,技术支援,Trent 800,A330-300,提供A330-300技术支援和工程服务,5,是,高,2026-02-24 11:03,3,84,17,9
49,European Aero Services,李静,业务发展经理,李静48@company.com,+86-18297139236,航材采购,CFM56-3,A320-200,专业航材采购服务，寻找CFM56-3航材,5,是,高,2026-02-24 11:24,2,8,18,8
